,BAU 2020,BAU 2040,Mass-Timber,Alternative Cement
Cost of RC,175139213.36129048,1933316636.550401,0.0,0.0
Cost of MT (Low-end),,,1884823854.321601,
Cost of MT (High-end),,,2180576537.1456013,
Cost of CSA (Low-end),,,,2017482626.7167113
Cost of CSA (High-end),,,,2038382720.1046414
Cost of AAC (Low-end),,,,2027417027.0095096
Cost of AAC (High-end),,,,2075688107.1654997
Total Cost of RC,175139213.36129048,1933316636.550401,0.0,0.0
Total Cost of MT (Low-end),,,1884823854.321601,
Total Cost of MT (High-end),,,2180576537.1456013,
Total Cost of CSA (Low-end),,,,2017482626.7167113
Total Cost of CSA (High-end),,,,2038382720.1046414
Total Cost of AAC (Low-end),,,,2027417027.0095096
Total Cost of AAC (High-end),,,,2075688107.1654997
