Strategy,BAU 2020,BAU 2040,Mass-Timber,Alternative Cement
Cost of RC,87569606.68064524,87878028.93410914,0.0,0.0
Cost of MT (Low-end),,,85673811.56007276,
Cost of MT (High-end),,,99117115.32480006,
Cost of CSA (Low-end),,,,91703755.75985052
Cost of CSA (High-end),,,,92653760.00475644
Cost of AAC (Low-end),,,,92155319.40952316
Cost of AAC (High-end),,,,94349459.41661362
Total Cost of RC,87569606.68064524,87878028.93410914,0.0,0.0
Total Cost of MT (Low-end),,,85673811.56007276,
Total Cost of MT (High-end),,,99117115.32480006,
Total Cost of CSA (Low-end),,,,91703755.75985052
Total Cost of CSA (High-end),,,,92653760.00475644
Total Cost of AAC (Low-end),,,,92155319.40952316
Total Cost of AAC (High-end),,,,94349459.41661362
