,BAU2020_NetEmission,BAU2020_ProcessEmission,BAU2020_Residue,BAU2020_CarbonStorage,BAU2040_NetEmission,BAU2040_ProcessEmission,BAU2040_Residue,BAU2040_CarbonStorage,Mass_Timber_NetEmission,Mass_Timber_ProcessEmission,Mass_Timber_Residue,Mass_Timber_CarbonStorage,Alternative_Cement_NetEmission,Alternative_Cement_ProcessEmission,Alternative_Cement_Residue,Alternative_Cement_CarbonStorage
Emission from LF,10014.156494039262,34305.32614516788,-24291.16965112862,0.0,108959.67214448587,373261.30181928596,-264301.62967480015,0.0,108959.67214448587,373261.30181928596,-264301.62967480015,0.0,108959.67214448587,373261.30181928596,-264301.62967480015,0.0
Emission from RC,9894.867412260575,14287.830040672216,-4392.96262841164,0.0,109226.89109674799,157719.673325548,-48492.782228800024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emission from MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54323.10194231937,90089.46931048071,-144412.5712528001,0.0,0.0,0.0,0.0,0.0
Emission from CSA (Low-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35703.47702560002,12789.305203200007,-48492.782228800024,0.0
Emission from CSA (High-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43696.79277760003,4795.989451200002,-48492.782228800024,0.0
Emission from AAC (Low-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55420.32254720003,-6927.540318400003,-48492.782228800024,0.0
Emission from AAC (High-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66078.07688320003,-17585.29465440001,-48492.782228800024,0.0
Total Emission with LF&RC&MT,19909.023906299837,48593.1561858401,-28684.13227954026,0.0,218186.56324123387,530980.975144834,-312794.41190360015,0.0,54636.5702021665,463350.77112976665,-408714.20092760026,0.0,0.0,0.0,0.0,0.0
Total Emission with CSA (Low-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73256.19511888585,386050.607022486,-312794.41190360015,0.0
Total Emission with CSA (High-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65262.87936688584,378057.29127048596,-312794.41190360015,0.0
Total Emission with AAC (Low-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53539.34959728584,366333.76150088594,-312794.41190360015,0.0
Total Emission with AAC (High-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42881.59526128584,355676.00716488593,-312794.41190360015,0.0
