Strategy,BAU2020_NetEmission,BAU2020_ProcessEmission,BAU2020_Residue,BAU2020_CarbonStorage,BAU2040_NetEmission,BAU2040_ProcessEmission,BAU2040_Residue,BAU2040_CarbonStorage,Mass_Timber_NetEmission,Mass_Timber_ProcessEmission,Mass_Timber_Residue,Mass_Timber_CarbonStorage,Alternative_Cement_NetEmission,Alternative_Cement_ProcessEmission,Alternative_Cement_Residue,Alternative_Cement_CarbonStorage
Emission from LF,5007.078247019631,17152.66307258394,-12145.58482556431,0.0,4952.712370203903,16966.422809967542,-12013.710439763643,0.0,4952.712370203903,16966.422809967542,-12013.710439763643,0.0,4952.712370203903,16966.422809967542,-12013.710439763643,0.0
Emission from RC,4947.433706130288,7143.915020336108,-2196.48131420582,0.0,4964.858686215818,7169.076060252182,-2204.2173740363646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emission from MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2469.2319064690623,4094.975877749123,-6564.207784218186,0.0,0.0,0.0,0.0,0.0
Emission from CSA (Low-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1622.8853193454554,581.3320546909094,-2204.2173740363646,0.0
Emission from CSA (High-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1986.217853527274,217.99952050909098,-2204.2173740363646,0.0
Emission from AAC (Low-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2519.105570327274,-314.88819629090926,-2204.2173740363646,0.0
Emission from AAC (High-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3003.548949236365,-799.3315752000005,-2204.2173740363646,0.0
Total Emission with LF&RC&MT,9954.511953149919,24296.57809292005,-14342.06613977013,0.0,9917.571056419722,24135.49887021973,-14217.927813800006,0.0,2483.4804637348407,21061.398687716664,-18577.91822398183,0.0,0.0,0.0,0.0,0.0
Total Emission with CSA (Low-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3329.827050858448,17547.754864658455,-14217.927813800006,0.0
Total Emission with CSA (High-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2966.4945166766292,17184.422330476635,-14217.927813800006,0.0
Total Emission with AAC (Low-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2433.6067998766293,16651.534613676635,-14217.927813800006,0.0
Total Emission with AAC (High-end),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.163420967538,16167.091234767542,-14217.927813800006,0.0
