,BAU2020_NetEmission,BAU2020_ProcessEmission,BAU2020_Residue,BAU2020_CarbonStorage,BAU2040_NetEmission,BAU2040_ProcessEmission,BAU2040_Residue,BAU2040_CarbonStorage,Mass_Timber_NetEmission,Mass_Timber_ProcessEmission,Mass_Timber_Residue,Mass_Timber_CarbonStorage,Alternative_Cement_NetEmission,Alternative_Cement_ProcessEmission,Alternative_Cement_Residue,Alternative_Cement_CarbonStorage
Emission from RC,9894.867412260575,14287.830040672216,-4392.96262841164,0.0,109226.89109674799,157719.673325548,-48492.782228800024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emission from MT,,,,,,,,,-54323.10194231937,90089.46931048071,-144412.5712528001,0.0,,,,
Emission from CSA (Low-end),,,,,,,,,,,,,-35703.47702560002,12789.305203200007,-48492.782228800024,0.0
Emission from CSA (High-end),,,,,,,,,,,,,-43696.79277760003,4795.989451200002,-48492.782228800024,0.0
Emission from AAC (Low-end),,,,,,,,,,,,,-55420.32254720003,-6927.540318400003,-48492.782228800024,0.0
Emission from AAC (High-end),,,,,,,,,,,,,-66078.07688320003,-17585.29465440001,-48492.782228800024,0.0
Total Emission with RC,9894.867412260575,14287.830040672216,-4392.96262841164,0.0,109226.89109674799,157719.673325548,-48492.782228800024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Emission with MT,,,,,,,,,-54323.10194231937,90089.46931048071,-144412.5712528001,0.0,,,,
Total Emission with CSA (Low-end),,,,,,,,,,,,,-35703.47702560002,12789.305203200007,-48492.782228800024,0.0
Total Emission with CSA (High-end),,,,,,,,,,,,,-43696.79277760003,4795.989451200002,-48492.782228800024,0.0
Total Emission with AAC (Low-end),,,,,,,,,,,,,-55420.32254720003,-6927.540318400003,-48492.782228800024,0.0
Total Emission with AAC (High-end),,,,,,,,,,,,,-66078.07688320003,-17585.29465440001,-48492.782228800024,0.0
