,BAU2020_SF,BAU2020_MF,BAU2020_Total,BAU2020_Annual,BAU2040_SF,BAU2040_MF,BAU2040_Total,BAU2040_Annual,Compact_City_SF,Compact_City_MF,Compact_City_Total,Compact_City_Annual,Effective_Design_SF,Effective_Design_MF,Effective_Design_Total,Effective_Design_Annual,Intensive_Use_SF,Intensive_Use_MF,Intensive_Use_Total,Intensive_Use_Annual,Mass_Timber_SF,Mass_Timber_MF,Mass_Timber_Total,Mass_Timber_Annual,Alternative_Cement_SF,Alternative_Cement_MF,Alternative_Cement_Total,Alternative_Cement_Annual,'+ Effective_Design_SF,'+ Effective_Design_MF,'+ Effective_Design_Total,'+ Effective_Design_Annual,'+ Intensive_Use_SF,'+ Intensive_Use_MF,'+ Intensive_Use_Total,'+ Intensive_Use_Annual,'+ Mass_Timber_SF,'+ Mass_Timber_MF,'+ Mass_Timber_Total,'+ Mass_Timber_Annual,'+ Alternative_Cement_SF,'+ Alternative_Cement_MF,'+ Alternative_Cement_Total,'+ Alternative_Cement_Annual
Concrete (w/ PC),99444.81222336531,148140.7675504597,247585.579773825,123792.7898869125,1093892.919092579,1626797.9897254913,2720690.9088180703,123667.76858263956,1093168.5241655242,1630017.1907091355,2723185.7148746597,123781.16885793908,1093892.919092579,1626797.9897254913,2720690.9088180703,123667.76858263956,1093603.161121757,1591063.1144157082,2684666.2755374652,122030.28525170297,1093892.919092579,1537460.8014510334,2631353.7205436127,119606.98729743694,1093892.919092579,1537460.8014510334,2631353.7205436127,119606.98729743694,1093168.5241655242,1630017.1907091355,2723185.7148746597,123781.16885793908,1093023.6451801131,1593456.3863635086,2686480.031543622,122112.72870652826,1093023.6451801131,1520789.9997700423,2613813.644950155,118809.71113409796,1093023.6451801131,1520789.9997700423,2613813.644950155,118809.71113409796
Iron/Steel,21951.258063373374,39733.76058603981,61685.018649413185,30842.509324706592,241463.76532305914,435158.6996076087,676622.4649306679,30755.566587757632,238004.3623949791,437397.3338366487,675401.6962316278,30700.07710143763,241463.76532305914,435158.6996076087,676622.4649306679,30755.566587757632,240080.00415182713,410308.64661452064,650388.6507663478,29563.120489379446,241463.76532305914,373033.56712488865,614497.3324479478,27931.696929452173,241463.76532305914,373033.56712488865,614497.3324479478,27931.696929452173,238004.3623949791,437397.3338366487,675401.6962316278,30700.07710143763,237312.48180936312,411972.92931354087,649285.4111229039,29512.97323285927,237312.48180936312,361440.68197785475,598753.1637872178,27216.05289941899,237312.48180936312,361440.68197785475,598753.1637872178,27216.05289941899
Wood (Total),384376.1425851503,1337292.119821958,1721668.2624071082,860834.1312035541,4228130.574706575,14558918.636841295,18787049.21154787,853956.782343085,3898393.6858088383,14735997.804593202,18634391.49040204,847017.7950182745,4228130.574706575,14558918.636841295,18787049.21154787,853956.782343085,4096235.8191474807,12593243.920747139,16689479.73989462,758612.7154497554,4228130.574706575,9644731.84660591,13872862.421312485,630584.6555142038,4228130.574706575,9644731.84660591,13872862.421312485,630584.6555142038,3898393.6858088383,14735997.804593202,18634391.49040204,847017.7950182745,3832446.3080292917,12724891.061411459,16557337.369440751,752606.2440654887,3832446.3080292917,8727718.058890995,12560164.366920287,570916.5621327403,3832446.3080292917,8727718.058890995,12560164.366920287,570916.5621327403
Wood (except CLT),384376.1425851503,1337292.119821958,1721668.2624071082,860834.1312035541,4228130.574706575,14558918.636841295,18787049.21154787,853956.782343085,3898393.6858088383,14735997.804593202,18634391.49040204,847017.7950182745,4228130.574706575,14558918.636841295,18787049.21154787,853956.782343085,4096235.8191474807,12593243.920747139,16689479.73989462,758612.7154497554,4228130.574706575,9644731.84660591,13872862.421312485,630584.6555142038,4228130.574706575,9644731.84660591,13872862.421312485,630584.6555142038,3898393.6858088383,14735997.804593202,18634391.49040204,847017.7950182745,3832446.3080292917,12724891.061411459,16557337.369440751,752606.2440654887,3832446.3080292917,8727718.058890995,12560164.366920287,570916.5621327403,3832446.3080292917,8727718.058890995,12560164.366920287,570916.5621327403
CLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC,28431.887026539425,42354.3619103932,70786.24893693262,35393.12446846631,312750.7528991453,465111.60939181835,777862.3622909636,35357.38010413471,312543.64390805626,466031.99886851734,778575.6427765735,35389.80194438971,312750.7528991453,465111.60939181835,777862.3622909636,35357.38010413471,312667.9093027096,454894.7874681855,767562.696770895,34889.21348958614,312750.7528991453,439569.55458273634,752320.3074818817,34196.3776128128,312750.7528991453,439569.55458273634,752320.3074818817,34196.3776128128,312543.64390805626,466031.99886851734,778575.6427765735,35389.80194438971,312502.22210983845,455579.03872395545,768081.2608337939,34912.78458335427,312502.22210983845,434803.2692488049,747305.4913586434,33968.43142539288,312502.22210983845,434803.2692488049,747305.4913586434,33968.43142539288
Concrete (w/ CSA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Concrete (w/ AAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total (Concrete+Iron+Wood),505772.212871889,1525166.6479584575,2030938.8608303466,1015469.4304151733,5563487.259122213,16620875.326174395,22184362.58529661,1008380.1175134822,5229566.572369342,16803412.329138987,22032978.901508328,1001499.0409776513,5563487.259122213,16620875.326174395,22184362.58529661,1008380.1175134822,5429918.984421065,14594615.681777367,20024534.666198432,910206.1211908378,5563487.259122213,11555226.215181831,17118713.474304043,778123.3397410929,5563487.259122213,11555226.215181831,17118713.474304043,778123.3397410929,5229566.572369342,16803412.329138987,22032978.901508328,1001499.0409776513,5162782.4350187685,14730320.37708851,19893102.81210728,904231.9460048764,5162782.4350187685,10609948.740638891,15772731.17565766,716942.3261662573,5162782.4350187685,10609948.740638891,15772731.17565766,716942.3261662573
Total (PC+Iron+Wood),434759.2876750631,1419380.242318391,1854139.5299934542,927069.7649967271,4782345.092928779,15459188.945840722,20241534.038769502,920069.7290349774,4448941.692111874,15639427.137298368,20088368.82941024,913107.6740641018,4782345.092928779,15459188.945840722,20241534.038769502,920069.7290349774,4648983.732602017,13458447.354829844,18107431.087431863,823065.0494287211,4782345.092928779,10457334.968313536,15239680.061242316,692712.7300564689,4782345.092928779,10457334.968313536,15239680.061242316,692712.7300564689,4448941.692111874,15639427.137298368,20088368.82941024,913107.6740641018,4382261.011948493,13592443.029448956,17974704.04139745,817032.0018817022,4382261.011948493,9523962.010117654,13906223.022066146,632101.0464575521,4382261.011948493,9523962.010117654,13906223.022066146,632101.0464575521
Total (PC_Concrete+Iron+Wood+CSA),505772.212871889,1525166.6479584575,2030938.8608303466,1015469.4304151733,5563487.259122213,16620875.326174395,22184362.58529661,1008380.1175134822,5229566.572369342,16803412.329138987,22032978.901508328,1001499.0409776513,5563487.259122213,16620875.326174395,22184362.58529661,1008380.1175134822,5429918.984421065,14594615.681777367,20024534.666198432,910206.1211908378,5563487.259122213,11555226.215181831,17118713.474304043,778123.3397410929,5563487.259122213,11555226.215181831,17118713.474304043,778123.3397410929,5229566.572369342,16803412.329138987,22032978.901508328,1001499.0409776513,5162782.4350187685,14730320.37708851,19893102.81210728,904231.9460048764,5162782.4350187685,10609948.740638891,15772731.17565766,716942.3261662573,5162782.4350187685,10609948.740638891,15772731.17565766,716942.3261662573
Total (PC_Concrete+Iron+Wood+AAC),505772.212871889,1525166.6479584575,2030938.8608303466,1015469.4304151733,5563487.259122213,16620875.326174395,22184362.58529661,1008380.1175134822,5229566.572369342,16803412.329138987,22032978.901508328,1001499.0409776513,5563487.259122213,16620875.326174395,22184362.58529661,1008380.1175134822,5429918.984421065,14594615.681777367,20024534.666198432,910206.1211908378,5563487.259122213,11555226.215181831,17118713.474304043,778123.3397410929,5563487.259122213,11555226.215181831,17118713.474304043,778123.3397410929,5229566.572369342,16803412.329138987,22032978.901508328,1001499.0409776513,5162782.4350187685,14730320.37708851,19893102.81210728,904231.9460048764,5162782.4350187685,10609948.740638891,15772731.17565766,716942.3261662573,5162782.4350187685,10609948.740638891,15772731.17565766,716942.3261662573
