,BAU2020_SF,BAU2020_MF,BAU2020_Total,BAU2020_Annual,BAU2040_SF,BAU2040_MF,BAU2040_Total,BAU2040_Annual,Compact_City_SF,Compact_City_MF,Compact_City_Total,Compact_City_Annual,Effective_Design_SF,Effective_Design_MF,Effective_Design_Total,Effective_Design_Annual,Intensive_Use_SF,Intensive_Use_MF,Intensive_Use_Total,Intensive_Use_Annual,Mass_Timber_SF,Mass_Timber_MF,Mass_Timber_Total,Mass_Timber_Annual,Alternative_Cement_SF,Alternative_Cement_MF,Alternative_Cement_Total,Alternative_Cement_Annual,'+ Effective_Design_SF,'+ Effective_Design_MF,'+ Effective_Design_Total,'+ Effective_Design_Annual,'+ Intensive_Use_SF,'+ Intensive_Use_MF,'+ Intensive_Use_Total,'+ Intensive_Use_Annual,'+ Mass_Timber_SF,'+ Mass_Timber_MF,'+ Mass_Timber_Total,'+ Mass_Timber_Annual,'+ Alternative_Cement_SF,'+ Alternative_Cement_MF,'+ Alternative_Cement_Total,'+ Alternative_Cement_Annual
Concrete (w/ PC),2826.061046442017,40870.25992225623,43696.320968698245,21848.160484349122,31086.341839702334,442757.2034920319,473843.54533173423,21538.342969624282,15543.1709198514,450734.4213367342,466277.5922565856,21194.436011662983,25179.936890159268,358633.33482854627,383813.27171870554,17446.057805395707,24869.073471761774,354205.7627936257,379074.8362653875,17230.67437569943,31086.341839702334,368826.97049517184,399913.3123348742,18177.87783340337,31086.341839702334,296160.5021895515,327246.8440292538,14874.856546784264,12589.968445079867,365094.8812827552,377684.84972783504,17167.493169447047,10071.974756063893,291710.41821792116,301782.39297398506,13717.381498817502,10071.974756063893,254231.7492757584,264303.7240318223,12013.805637810105,10071.974756063893,195125.23629646236,205197.21105252625,9327.14595693301
Iron/Steel,146.59885093197227,2120.1003953674663,2266.6992462994385,1133.3496231497193,1612.5702589180582,22967.549606017637,24580.119864935696,1117.2781756788952,806.2851294590218,23381.359127627176,24187.6442570862,1099.4383753221,1612.5702589180582,22967.549606017667,24580.119864935725,1117.2781756788966,1290.0562071344466,18374.039684814124,19664.09589194857,893.8225405431168,1612.5702589180582,16016.843804196513,17629.41406311457,801.3370028688441,1612.5702589180582,22967.549606017637,24580.119864935696,1117.2781756788952,806.2851294590218,23381.359127627176,24187.6442570862,1099.4383753221,645.0281035672233,18681.68084323591,19326.708946803134,878.4867703092333,645.0281035672233,13028.014272256609,13673.042375823832,621.5019261738106,645.0281035672233,18681.68084323591,19326.708946803134,878.4867703092333
Wood (Total),936.0581940563861,13537.195787617005,14473.253981673392,7236.626990836696,10296.530939742806,146651.64746812626,156948.17840786907,7134.008109448594,5148.265469871461,149293.8905076771,154442.15597754857,7020.0979989794805,10296.530939742806,146651.64746812638,156948.17840786919,7134.0081094485995,8237.224751794129,117321.31797450117,125558.5427262953,5707.206487558878,10296.530939742806,166871.88252796966,177168.41346771247,8053.109703077839,10296.530939742806,146651.64746812626,156948.17840786907,7134.008109448594,5148.265469871461,149293.8905076771,154442.15597754857,7020.0979989794805,4118.612375897123,119285.65824960545,123404.27062550257,5609.285028431935,4118.612375897123,135732.68827427248,139851.3006501696,6356.877302280437,4118.612375897123,119285.65824960545,123404.27062550257,5609.285028431935
Wood (except CLT),936.0581940563861,13537.195787617005,14473.253981673392,7236.626990836696,10296.530939742806,146651.64746812626,156948.17840786907,7134.008109448594,5148.265469871461,149293.8905076771,154442.15597754857,7020.0979989794805,10296.530939742806,146651.64746812638,156948.17840786919,7134.0081094485995,8237.224751794129,117321.31797450117,125558.5427262953,5707.206487558878,10296.530939742806,132118.35351886402,142414.88445860683,6473.403839027583,10296.530939742806,146651.64746812626,156948.17840786907,7134.008109448594,5148.265469871461,149293.8905076771,154442.15597754857,7020.0979989794805,4118.612375897123,119285.65824960545,123404.27062550257,5609.285028431935,4118.612375897123,107464.35541937605,111582.96779527317,5071.953081603326,4118.612375897123,119285.65824960545,123404.27062550257,5609.285028431935
CLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34753.52828875981,34753.52828875981,1579.705831307264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28268.332268971015,28268.332268971015,1284.924194044137,0.0,0.0,0.0,0.0
PC,356.0836918516434,5149.652750204317,5505.736442055961,2752.8682210279803,3916.879071802483,55787.40763999603,59704.286711798515,2713.8312141726597,1958.4395359012415,56792.537088428566,58750.97662432981,2670.4989374695365,3172.6720481600496,45187.80018839688,48360.47223655693,2198.2032834798606,3133.5032574419747,44629.92611199687,47763.42936943885,2171.0649713381295,3916.879071802483,46472.198282391706,50389.07735419419,2290.412607008827,3916.879071802483,37316.22327588353,41233.102347686014,1874.2319248948188,1586.336024080054,46001.95504162717,47588.29106570722,2163.1041393503283,1269.0688192640082,36755.51269545808,38024.581514722086,1728.390068851004,1269.0688192640082,32033.200408745557,33302.269228009565,1513.739510364071,1269.0688192640082,24585.779773354298,25854.848592618306,1175.2203905735594
Concrete (w/ AC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146596.70130248048,146596.70130248048,6663.486422840022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96585.1819214587,96585.1819214587,4390.235541884486
AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18471.18436411254,18471.18436411254,839.5992892778428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12169.732922103796,12169.732922103796,553.1696782774453
Total (Concrete+Iron+Wood),3908.718091430608,56527.556105240714,60436.27419667132,30218.13709833566,42995.443038363475,612376.4005661756,655371.843604539,29789.629254751777,21497.72151918197,623409.6709720385,644907.3924912205,29313.972385964567,37089.03808882041,528252.53190269,565341.5699915104,25697.3440905232,34396.35443069041,489901.12045294093,524297.4748836313,23831.703403801424,42995.443038363475,551715.6968273381,594711.1398657016,27032.32453935007,42995.443038363475,465779.69926369516,508775.14230205864,23126.142831911755,18544.519044410437,537770.1309180595,556314.6499624699,25287.029543748635,14835.615235528443,429677.75731076254,444513.372546291,20205.15329755868,14835.615235528443,402992.4518222874,417828.06705781585,18992.184866264357,14835.615235528443,333092.57538930373,347928.1906248322,15814.91775567419
Total (PC+Iron+Wood),1438.7407368398272,20806.948933188803,22245.68967002863,11122.844835014315,15825.980270463275,225406.60471413983,241232.5849846031,10965.11749930014,7912.990135231521,229467.78672373272,237380.77685896424,10790.035311771102,15081.773246820783,214806.99726254074,229888.77050936152,10449.489568607341,12660.784216370434,180325.2837713121,192986.06798768253,8772.093999440114,15825.980270463275,229360.92461455776,245186.90488502104,11144.859312955501,15825.980270463275,206935.42035002727,222761.40062049055,10125.518210022297,7540.886623410508,218677.20467693126,226218.09130034177,10282.640513651899,6032.709298728267,174722.85178829916,180755.56108702742,8216.161867592156,6032.709298728267,180793.90295527456,186826.61225400283,8492.11873881831,6032.709298728267,162553.11886619544,168585.8281649237,7662.992189314714
