,BAU2018_SF,BAU2018_MF,BAU2018_Total,BAU2020_SF,BAU2020_MF,BAU2020_Total,BAU2040_SF,BAU2040_MF,BAU2040_Total,Compact_City_SF,Compact_City_MF,Compact_City_Total,Effective_Design_SF,Effective_Design_MF,Effective_Design_Total,Intensive_Use_SF,Intensive_Use_MF,Intensive_Use_Total,Mass_Timber_SF,Mass_Timber_MF,Mass_Timber_Total,Alternative_Cement_SF,Alternative_Cement_MF,Alternative_Cement_Total,'+ Effective_Design_SF,'+ Effective_Design_MF,'+ Effective_Design_Total,'+ Intensive_Use_SF,'+ Intensive_Use_MF,'+ Intensive_Use_Total,'+ Mass_Timber_SF,'+ Mass_Timber_MF,'+ Mass_Timber_Total,'+ Alternative_Cement_SF,'+ Alternative_Cement_MF,'+ Alternative_Cement_Total
Concrete (w/ PC),2149525.3702666666,2097309.3690965576,4246834.739363224,2152351.4313131087,2138179.629018814,4290531.060331922,2180611.712106369,2540066.5725885895,4720678.2846949585,2165068.541186518,2548043.790433292,4713112.33161981,2174705.307156826,2455942.703925104,4630648.01108193,2174394.4437384284,2451515.1318901833,4625909.575628612,2180611.712106369,2466136.3395917295,4646748.051698098,2180611.712106369,2393469.871286109,4574081.5833924785,2162115.3387117465,2462404.250379313,4624519.589091059,2159597.3450227305,2389019.787314479,4548617.132337209,2159597.3450227305,2351541.118372316,4511138.463395046,2159597.3450227305,2292434.60539302,4452031.950415751
Iron/Steel,111504.2966700859,108795.64825591292,220299.9449259988,111650.89552101787,110915.74865128039,222566.64417229826,113116.86692900395,131763.19786193056,244880.0647909345,112310.58179954492,132177.0073835401,244487.58918308502,113116.86692900395,131763.1978619306,244880.06479093456,112794.35287722034,127169.68794072705,239964.0408179474,113116.86692900395,124812.49206010943,237929.3589891134,113116.86692900395,131763.19786193056,244880.0647909345,112310.58179954492,132177.0073835401,244487.58918308502,112149.32477365312,127477.32909914883,239626.65387280195,112149.32477365312,121823.66252816953,233972.98730182264,112149.32477365312,127477.32909914883,239626.65387280195
Wood (Total),711973.5926099145,694678.4192385977,1406652.011848512,712909.6508039709,708215.6150262147,1421125.2658301857,722270.1235496573,841330.066706724,1563600.1902563814,717121.858079786,843972.3097462748,1561094.1678260607,722270.1235496573,841330.0667067241,1563600.1902563814,720210.8173617086,811999.7372130989,1532210.5545748076,722270.1235496573,861550.3017665674,1583820.4253162248,722270.1235496573,841330.066706724,1563600.1902563814,717121.858079786,843972.3097462748,1561094.1678260607,716092.2049858116,813964.0774882032,1530056.282474015,716092.2049858116,830411.1075128702,1546503.3124986817,716092.2049858116,813964.0774882032,1530056.282474015
Wood (except CLT),711973.5926099145,694678.4192385977,1406652.011848512,712909.6508039709,708215.6150262147,1421125.2658301857,722270.1235496573,841330.066706724,1563600.1902563814,717121.858079786,843972.3097462748,1561094.1678260607,722270.1235496573,841330.0667067241,1563600.1902563814,720210.8173617086,811999.7372130989,1532210.5545748076,722270.1235496573,826796.7727574618,1549066.8963071192,722270.1235496573,841330.066706724,1563600.1902563814,717121.858079786,843972.3097462748,1561094.1678260607,716092.2049858116,813964.0774882032,1530056.282474015,716092.2049858116,802142.7746579738,1518234.9796437854,716092.2049858116,813964.0774882032,1530056.282474015
CLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34753.52828875981,34753.52828875981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28268.332268971015,28268.332268971015,0.0,0.0,0.0
PC,270840.1966536,264260.98050616623,535101.1771597662,271196.28034545167,269410.63325637055,540606.9136018222,274757.0757254025,320048.38814616227,594805.4638715647,272798.63618950127,321053.5175945948,593852.153784096,274012.8687017601,309448.7806945631,583461.6493963231,273973.699911042,308890.9066181631,582864.6065292051,274757.0757254025,310733.17878855794,585490.2545139604,274757.0757254025,301577.20378204976,576334.2795074523,272426.5326776801,310262.9355477934,582689.4682254735,272109.26547286403,301016.4932016243,573125.7586744884,272109.26547286403,296294.1809149118,568403.4463877758,272109.26547286403,288846.76027952053,560956.0257523846
Concrete (w/ AC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146596.70130248048,146596.70130248048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96585.1819214587,96585.1819214587
AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18471.18436411254,18471.18436411254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12169.732922103796,12169.732922103796
Total (Concrete+Iron+Wood),2973003.259546667,2900783.4365910683,5873786.696137736,2976911.9776380975,2957310.992696309,5934222.970334407,3015998.7025850303,3513159.837157244,6529158.539742274,2994500.981065849,3524193.107563107,6518694.088628955,3010092.2976354873,3429035.9684937582,6439128.266129246,3007399.6139773573,3390684.557044009,6398084.1710213665,3015998.7025850303,3452499.1334184064,6468497.836003437,3015998.7025850303,3366563.1358547634,6382561.838439794,2991547.7785910773,3438553.567509128,6430101.346100206,2987838.8747821953,3330461.193901831,6318300.068684027,2987838.8747821953,3303775.8884133557,6291614.763195551,2987838.8747821953,3233876.011980372,6221714.886762567
Total (PC+Iron+Wood),1094318.0859336006,1067735.048000677,2162053.1339342776,1095756.8266704404,1088541.9969338658,2184298.823604306,1110144.0662040638,1293141.6527148169,2403285.7189188804,1102231.076068832,1297202.8347244097,2399433.910793242,1109399.8591804213,1282542.0452632178,2391941.9044436393,1106978.870149971,1248060.3317719891,2355039.2019219603,1110144.0662040638,1297095.9726152348,2407240.0388192986,1110144.0662040638,1274670.4683507043,2384814.5345547684,1101858.972557011,1286412.2526776083,2388271.2252346193,1100350.7952323288,1242457.8997889762,2342808.6950213052,1100350.7952323288,1248528.9509559516,2348879.74618828,1100350.7952323288,1230288.1668668725,2330638.962099201
