Strategy,BAU 2020,BAU 2040,Mass-Timber,Alternative Cement
Cost of LF,168816464.0540799,166983487.88785088,166983487.88785088,166983487.88785088
Cost of RC,87569606.68064524,87878028.93410914,0.0,0.0
Cost of MT (Low-end),,,85673811.56007276,
Cost of MT (High-end),,,99117115.32480006,
Cost of CSA (Low-end),,,,91703755.75985052
Cost of CSA (High-end),,,,92653760.00475644
Cost of AAC (Low-end),,,,92155319.40952316
Cost of AAC (High-end),,,,94349459.41661362
Total Cost of LF & RC (BAU),256386070.73472512,254861516.82196,0.0,0.0
Total Cost of MT (Low-end),0.0,0.0,252657299.44792366,0.0
Total Cost of MT (High-end),0.0,0.0,266100603.21265095,0.0
Total Cost of CSA (Low-end),0.0,0.0,0.0,258687243.64770138
Total Cost of CSA (High-end),0.0,0.0,0.0,259637247.89260733
Total Cost of AAC (Low-end),0.0,0.0,0.0,259138807.29737404
Total Cost of AAC (High-end),0.0,0.0,0.0,261332947.30446452
