,BAU2020_SF,BAU2020_MF,BAU2020_Total,BAU2020_Annual,BAU2040_SF,BAU2040_MF,BAU2040_Total,BAU2040_Annual,Compact_City_SF,Compact_City_MF,Compact_City_Total,Compact_City_Annual,Effective_Design_SF,Effective_Design_MF,Effective_Design_Total,Effective_Design_Annual,Intensive_Use_SF,Intensive_Use_MF,Intensive_Use_Total,Intensive_Use_Annual,Mass_Timber_SF,Mass_Timber_MF,Mass_Timber_Total,Mass_Timber_Annual,Alternative_Cement_SF,Alternative_Cement_MF,Alternative_Cement_Total,Alternative_Cement_Annual,'+ Effective_Design_SF,'+ Effective_Design_MF,'+ Effective_Design_Total,'+ Effective_Design_Annual,'+ Intensive_Use_SF,'+ Intensive_Use_MF,'+ Intensive_Use_Total,'+ Intensive_Use_Annual,'+ Mass_Timber_SF,'+ Mass_Timber_MF,'+ Mass_Timber_Total,'+ Mass_Timber_Annual,'+ Alternative_Cement_SF,'+ Alternative_Cement_MF,'+ Alternative_Cement_Total,'+ Alternative_Cement_Annual
Concrete (w/ PC),155682.05092639785,2251460.878597251,2407142.929523649,1203571.4647618246,1712484.399265522,24390608.825969055,26103093.225234576,1186504.2375106625,856242.199632774,24830057.802598014,25686300.00223079,1167559.0910104904,1387112.3634050938,19756393.14903496,21143505.512440052,961068.4323836387,1369987.5194124125,19512487.060775254,20882474.580187667,949203.3900085303,1712484.399265522,16546446.158658465,18258930.557923988,829951.3889965449,1712484.399265522,12195304.412984539,13907788.812250061,632172.2187386391,693556.1817025598,20112346.820104416,20805903.001806974,945722.8637184988,554844.9453620476,16069743.518788844,16624588.464150893,755663.1120068588,554844.9453620476,11574066.96265906,12128911.908021107,551314.177637323,554844.9453620476,8034871.759394408,8589716.704756455,390441.66839802073
Iron/Steel,33424.538012489684,483382.8901437823,516807.428156272,258403.714078136,367666.0190333173,5236601.310172022,5604267.32920534,254739.42405478816,183833.00951665698,5330949.881098996,5514782.890615653,250671.9495734388,367666.0190333173,5236601.310172028,5604267.329205345,254739.42405478843,294132.8152266538,4189281.0481376206,4483413.863364275,203791.53924383066,367666.0190333173,3401285.3007457014,3768951.319779019,171315.96908086448,367666.0190333173,5236601.310172022,5604267.32920534,254739.42405478816,183833.00951665698,5330949.881098996,5514782.890615653,250671.9495734388,147066.4076133269,4259423.232257787,4406489.639871114,200294.9836305052,147066.4076133269,2766587.099421025,2913653.5070343516,132438.7957742887,147066.4076133269,4259423.232257787,4406489.639871114,200294.9836305052
Wood (Total),508562.21780679986,7354784.516977013,7863346.734783813,3931673.3673919067,5594125.070087794,79676122.22720273,85270247.29729052,3875920.3316950235,2797062.535043929,81111657.95426631,83908720.48931023,3814032.7495141015,5594125.070087794,79676122.22720279,85270247.29729058,3875920.3316950263,4475300.056070172,63740897.78176226,68216197.83783244,3100736.2653560196,5594125.070087794,97239052.48838781,102833177.5584756,4674235.343567072,5594125.070087794,79676122.22720279,85270247.29729058,3875920.3316950263,2797062.535043929,81111657.95426631,83908720.48931023,3814032.7495141015,2237650.028035118,64808127.63261711,67045777.66065223,3047535.348211465,2237650.028035118,79093720.28136456,81331370.30939968,3696880.4686090765,2237650.028035118,64808127.63261711,67045777.66065223,3047535.348211465
Wood (except CLT),508562.21780679986,7354784.516977013,7863346.734783813,3931673.3673919067,5594125.070087794,79676122.22720273,85270247.29729052,3875920.3316950235,2797062.535043929,81111657.95426631,83908720.48931023,3814032.7495141015,5594125.070087794,79676122.22720279,85270247.29729058,3875920.3316950263,4475300.056070172,63740897.78176226,68216197.83783244,3100736.2653560196,5594125.070087794,71929417.75635621,77523542.826444,3523797.401202,5594125.070087794,79676122.22720279,85270247.29729058,3875920.3316950263,2797062.535043929,81111657.95426631,83908720.48931023,3814032.7495141015,2237650.028035118,64808127.63261711,67045777.66065223,3047535.348211465,2237650.028035118,58507000.04200523,60744650.07004035,2761120.457729107,2237650.028035118,64808127.63261711,67045777.66065223,3047535.348211465
CLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25309634.732031602,25309634.732031602,1150437.942365073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20586720.239359327,20586720.239359327,935760.0108799693,0.0,0.0,0.0,0.0
PC,44510.46148145542,643706.5937755397,688217.0552569951,344108.52762849757,489609.88397531037,6973425.954999504,7463035.838974814,339228.90177158243,244804.94198765515,7099067.136053571,7343872.078041226,333812.36718369205,396584.0060200062,5648475.023549611,6045059.029569617,274775.41043498256,391687.90718024684,5578740.763999609,5970428.671179856,271383.1214172662,489609.88397531037,4730731.320775325,5220341.204750636,237288.23657957435,489609.88397531037,3486712.9774997593,3976322.8614750695,180741.9482488668,198292.00301000674,5750244.380203396,5948536.383213403,270388.017418791,158633.60240800102,4594439.08693226,4753072.689340261,216048.7586063755,158633.60240800102,3309097.347187781,3467730.949595782,157624.13407253555,158633.60240800102,2297219.543466126,2455853.1458741273,111629.68844882397
Concrete (w/ CSA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19512487.060775254,19512487.060775254,886931.2300352388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12855794.815031068,12855794.815031068,584354.3097741394
Concrete (w/ AAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23171078.38467061,23171078.38467061,1053230.835666846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15266256.342849392,15266256.342849392,693920.7428567905
Total (Concrete+Iron+Wood),697668.8067456874,10089628.285718046,10787297.092463734,5393648.546231867,7674275.488386633,109303332.3633438,116977607.85173044,5317163.993260474,3837137.7441933597,111272665.63796332,115109803.38215668,5232263.790098031,7348903.452526205,104669116.68640977,112018020.13893598,5091728.188133454,6139420.390709238,87442665.89067513,93582086.28138436,4253731.19460838,7674275.488386633,117186783.94779198,124861059.43617861,5675502.701644482,7674275.488386633,97108027.95035934,104782303.43874598,4762831.974488453,3674451.7262631455,106554954.65546972,110229406.38173287,5010427.562806039,2939561.3810104923,85137294.38366374,88076855.76467423,4003493.443848829,2939561.3810104923,93434374.34344465,96373935.72445513,4380633.442020688,2939561.3810104923,77102422.6242693,80041984.0052798,3638272.0002399907
Total (PC+Iron+Wood),586497.217300745,8481874.000896335,9068371.21819708,4534185.60909854,6451400.973096422,91886149.49237426,98337550.46547067,4469888.657521394,3225700.4865482408,93541674.97141887,96767375.45796712,4398517.066271232,6358375.095141117,90561198.56092443,96919573.65606554,4405435.166184797,5161120.778477073,73508919.59389949,78670040.37237656,3575910.9260171163,6451400.973096422,105371069.10990883,111822470.08300525,5082839.5492275115,6451400.973096422,88399436.51487458,94850837.487971,4311401.703998681,3179187.5475705927,92192852.2155687,95372039.7631393,4335092.716506331,2543350.038056446,73661989.95180716,76205339.9898636,3463879.0904483455,2543350.038056446,85169404.72797337,87712754.76602982,3986943.398455901,2543350.038056446,71364770.40834102,73908120.44639747,3359460.020290794
