,BAU2018_SF,BAU2018_MF,BAU2018_Total,BAU2020_SF,BAU2020_MF,BAU2020_Total,BAU2040_SF,BAU2040_MF,BAU2040_Total,Compact_City_SF,Compact_City_MF,Compact_City_Total,Effective_Design_SF,Effective_Design_MF,Effective_Design_Total,Intensive_Use_SF,Intensive_Use_MF,Intensive_Use_Total,Mass_Timber_SF,Mass_Timber_MF,Mass_Timber_Total,Alternative_Cement_SF,Alternative_Cement_MF,Alternative_Cement_Total,'+ Effective_Design_SF,'+ Effective_Design_MF,'+ Effective_Design_Total,'+ Intensive_Use_SF,'+ Intensive_Use_MF,'+ Intensive_Use_Total,'+ Mass_Timber_SF,'+ Mass_Timber_MF,'+ Mass_Timber_Total,'+ Alternative_Cement_SF,'+ Alternative_Cement_MF,'+ Alternative_Cement_Total
Concrete (w/ PC),118413053.5972501,115536578.52479117,233949632.12204129,118568735.64817654,117788039.40338843,236356775.05156496,120125537.99651566,139927187.3507602,260052725.34727585,119269295.79688291,140366636.32738918,259635932.1242721,119800165.96065523,135292971.67382613,255093137.63448137,119783041.11666255,135049065.58556646,254832106.70222902,120125537.99651566,132083024.68344963,252208562.6799653,120125537.99651566,127731882.9377757,247857420.93429136,119106609.77895269,135648925.34489557,254755535.12384826,118967898.54261218,131606322.04358001,250574220.5861922,118967898.54261218,127110645.48745023,246078544.0300624,118967898.54261218,123571450.28418557,242539348.82679775
Iron/Steel,25422979.640779585,24805407.802348144,50228387.44312773,25456404.178792078,25288790.69249193,50745194.87128401,25790645.6598129,30042009.112520166,55832654.77233307,25606812.65029624,30136357.68344714,55743170.33374338,25790645.6598129,30042009.112520173,55832654.77233307,25717112.456006236,28994688.85048577,54711801.306492,25790645.6598129,28206693.103093848,53997338.762906745,25790645.6598129,30042009.112520166,55832654.77233307,25606812.65029624,30136357.68344714,55743170.33374338,25570046.04839291,29064831.034605935,54634877.08299884,25570046.04839291,27571994.901769172,53142040.95016208,25570046.04839291,29064831.034605935,54634877.08299884
Wood (Total),386816622.7021587,377420121.7336088,764236744.4357674,387325184.9199655,384774906.2505858,772100091.1705513,392410747.7722465,457096243.9608115,849506991.733058,389613685.23720264,458531779.68787503,848145464.9250777,392410747.7722465,457096243.96081156,849506991.733058,391291922.7582289,441161019.515371,832452942.2735999,392410747.7722465,474659174.22199655,867069921.994243,392410747.7722465,457096243.96081156,849506991.733058,389613685.23720264,458531779.68787503,848145464.9250777,389054272.73019385,442228249.36622584,831282522.0964197,389054272.73019385,456513842.0149733,845568114.7451671,389054272.73019385,442228249.36622584,831282522.0964197
Wood (except CLT),386816622.7021587,377420121.7336088,764236744.4357674,387325184.9199655,384774906.2505858,772100091.1705513,392410747.7722465,457096243.9608115,849506991.733058,389613685.23720264,458531779.68787503,848145464.9250777,392410747.7722465,457096243.96081156,849506991.733058,391291922.7582289,441161019.515371,832452942.2735999,392410747.7722465,449349539.48996496,841760287.2622114,392410747.7722465,457096243.96081156,849506991.733058,389613685.23720264,458531779.68787503,848145464.9250777,389054272.73019385,442228249.36622584,831282522.0964197,389054272.73019385,435927121.77561396,824981394.5058079,389054272.73019385,442228249.36622584,831282522.0964197
CLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25309634.732031602,25309634.732031602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20586720.239359327,20586720.239359327,0.0,0.0,0.0
PC,33855024.581700005,33032622.563270777,66887647.14497078,33899535.04318146,33676329.15704631,67575864.20022777,34344634.46567532,40006048.518270284,74350682.98394561,34099829.52368766,40131689.69932435,74231519.223012,34251608.58772001,38681097.58682039,72932706.1745404,34246712.48888025,38611363.32727039,72858075.81615064,34344634.46567532,37763353.88404611,72107988.34972143,34344634.46567532,36519335.54077054,70863970.00644585,34053316.58471001,38782866.94347417,72836183.52818418,34013658.184108004,37627061.65020304,71640719.83431104,34013658.184108004,36341719.91045856,70355378.09456655,34013658.184108004,35329842.106736906,69343500.29084492
Concrete (w/ CSA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19512487.060775254,19512487.060775254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12855794.815031068,12855794.815031068
Concrete (w/ AAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23171078.38467061,23171078.38467061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15266256.342849392,15266256.342849392
Total (Concrete+Iron+Wood),530652655.9401884,517762108.0607481,1048414764.0009365,531350324.7469341,527851736.3464662,1059202061.0934002,538326931.428575,627065440.4240918,1165392371.8526669,534489793.6843818,629034773.6987114,1163524567.383093,538001559.3927146,622431224.7471578,1160432784.1398726,536792076.3308977,605204773.9514233,1141996850.282321,538326931.428575,634948892.00854,1173275823.4371152,538326931.428575,614870136.0111074,1153197067.4396825,534327107.6664516,624317062.7162178,1158644170.3826694,533592217.32119894,602899402.4444118,1136491619.7656107,533592217.32119894,611196482.4041927,1144788699.7253916,533592217.32119894,594864530.6850173,1128456748.0062163
Total (PC+Iron+Wood),446094626.9246383,435258152.0992277,881352779.0238659,446681124.14193904,443740026.100124,890421150.242063,452546027.8977347,527144301.59160197,979690329.4893367,449320327.4111866,528799827.0706465,978120154.4818331,452453002.0197794,525819350.6601521,978272352.6799314,451255747.7031154,508767071.69312716,960022819.3962426,452546027.8977347,540629221.2091365,993175249.1068711,452546027.8977347,523657588.61410224,976203616.511837,449273814.4722089,527451004.3147963,976724818.7870052,448637976.96269476,508920142.0510348,957558119.0137296,448637976.96269476,520427556.827201,969065533.7898958,448637976.96269476,506622922.50756866,955260899.4702635
