,BAU2020_SF,BAU2020_MF,BAU2020_Total,BAU2020_Annual,BAU2040_SF,BAU2040_MF,BAU2040_Total,BAU2040_Annual,Compact_City_SF,Compact_City_MF,Compact_City_Total,Compact_City_Annual,Effective_Design_SF,Effective_Design_MF,Effective_Design_Total,Effective_Design_Annual,Intensive_Use_SF,Intensive_Use_MF,Intensive_Use_Total,Intensive_Use_Annual,Mass_Timber_SF,Mass_Timber_MF,Mass_Timber_Total,Mass_Timber_Annual,Alternative_Cement_SF,Alternative_Cement_MF,Alternative_Cement_Total,Alternative_Cement_Annual,'+ Effective_Design_SF,'+ Effective_Design_MF,'+ Effective_Design_Total,'+ Effective_Design_Annual,'+ Intensive_Use_SF,'+ Intensive_Use_MF,'+ Intensive_Use_Total,'+ Intensive_Use_Annual,'+ Mass_Timber_SF,'+ Mass_Timber_MF,'+ Mass_Timber_Total,'+ Mass_Timber_Annual,'+ Alternative_Cement_SF,'+ Alternative_Cement_MF,'+ Alternative_Cement_Total,'+ Alternative_Cement_Annual
Concrete (w/ PC),324.9358517318792,484.04985040449384,808.985702136373,404.4928510681865,3574.294318847376,5315.5612501922105,8889.855569039586,404.0843440472539,3571.9273589492154,5326.079987068771,8898.007346017986,404.4548793644539,3574.294318847376,5315.5612501922105,8889.855569039586,404.0843440472539,3573.3475348881116,5198.797571064979,8772.14510595309,398.73386845241316,3574.294318847376,5281.84906396293,8856.143382810305,402.55197194592296,3574.294318847376,5281.84906396293,8856.143382810305,402.55197194592296,3571.9273589492154,5326.079987068771,8898.007346017986,404.4548793644539,3571.4539669695832,5206.617585416636,8778.07155238622,399.0032523811918,3571.4539669695832,5179.196275156436,8750.65024212602,397.7568291875463,3571.4539669695832,5179.196275156436,8750.65024212602,397.7568291875463
Iron/Steel,17.329940576347404,31.368758357399862,48.698698933747266,24.349349466873633,190.62928841294146,343.54634179548066,534.1756302084221,24.28071046401919,187.89818083814146,345.31368460788065,533.2118654460221,24.236902974819188,190.62928841294146,343.54634179548066,534.1756302084221,24.28071046401919,189.53684538302147,323.9278789062006,513.4647242892221,23.339305649510095,190.62928841294146,304.6476653770806,495.27695379002205,22.512588808637364,190.62928841294146,304.6476653770806,495.27695379002205,22.512588808637364,187.89818083814146,345.31368460788065,533.2118654460221,24.236902974819188,187.35195932318146,325.2417863001639,512.5937456233453,23.299715710152057,187.35195932318146,293.60181292301013,480.9537722461916,21.86153510209962,187.35195932318146,293.60181292301013,480.9537722461916,21.86153510209962
Wood (Total),516.4616057703482,1796.8337757442387,2313.295381514587,1156.6476907572935,5681.068266446632,19561.886559588445,25242.95482603508,1147.407037547049,5238.021926534632,19799.81649642205,25037.83842295668,1138.0835646798491,5681.068266446632,19561.886559588445,25242.95482603508,1147.407037547049,5503.849730481832,16920.73533342652,22424.58506390835,1019.2993210867432,5681.068266446632,13251.656829492442,18932.725095939073,860.5784134517761,5681.068266446632,13251.656829492442,18932.725095939073,860.5784134517761,5238.021926534632,19799.81649642205,25037.83842295668,1138.0835646798491,5149.412658552232,17097.621165115484,22247.033823667716,1011.2288101667144,5149.412658552232,11964.914372821657,17114.32703137389,777.9239559715405,5149.412658552232,11964.914372821657,17114.32703137389,777.9239559715405
Wood (except CLT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC,40.94191731821678,60.990281150966226,101.932198469183,50.9660992345915,450.36108417476936,669.7607175242185,1120.1218016989878,50.914627349953996,450.06284722760114,671.0860783706651,1121.1489255982663,50.96131479992119,450.36108417476936,669.7607175242185,1120.1218016989878,50.914627349953996,450.24178939590206,655.0484939541874,1105.2902833500893,50.24046742500406,450.36108417476936,665.5129820593291,1115.8740662340986,50.721548465186295,450.36108417476936,665.5129820593291,1115.8740662340986,50.721548465186295,450.06284722760114,671.0860783706651,1121.1489255982663,50.96131479992119,450.0031998381675,656.0338157624961,1106.0370156006636,50.27440980003016,450.0031998381675,652.5787306697109,1102.5819305078785,50.11736047763084,450.0031998381675,652.5787306697109,1102.5819305078785,50.11736047763084
Concrete (w/ AC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total (Concrete+Iron+Wood),858.7273980785749,2312.2523845061323,3170.979782584707,1585.4898912923536,9445.99187370695,25220.99415157614,34666.986025283084,1575.772092058322,8997.84746632199,25471.2101680987,34469.05763442069,1566.7753470191224,9445.99187370695,25220.99415157614,34666.986025283084,1575.772092058322,9266.734110752965,22443.4607833977,31710.194894150663,1441.3724951886666,9445.99187370695,18838.15355883245,28284.1454325394,1285.6429742063365,9445.99187370695,18838.15355883245,28284.1454325394,1285.6429742063365,8997.84746632199,25471.2101680987,34469.05763442069,1566.7753470191224,8908.218584844995,22629.480536832285,31537.69912167728,1433.5317782580582,8908.218584844995,17437.7124609011,26345.931045746096,1197.5423202611862,8908.218584844995,17437.7124609011,26345.931045746096,1197.5423202611862
Total (PC+Iron+Wood),574.7334636649124,1889.1928152526048,2463.9262789175173,1231.9631394587586,6322.058639034343,20575.193618908146,26897.25225794249,1222.6023753610223,5875.982954600375,20816.216259400593,26692.199214000968,1213.2817824545893,6322.058639034343,20575.193618908146,26897.25225794249,1222.6023753610223,6143.628365260755,17899.711706286907,24043.340071547664,1092.8790941612574,6322.058639034343,14221.817476928853,20543.876115963198,933.8125507255999,6322.058639034343,14221.817476928853,20543.876115963198,933.8125507255999,5875.982954600375,20816.216259400593,26692.199214000968,1213.2817824545893,5786.76781771358,18078.896767178143,23865.664584891725,1084.8029356768966,5786.76781771358,12911.094916414379,18697.862734127957,849.9028515512708,5786.76781771358,12911.094916414379,18697.862734127957,849.9028515512708
