,BAU2020_SF,BAU2020_MF,BAU2020_Total,BAU2020_Annual,BAU2040_SF,BAU2040_MF,BAU2040_Total,BAU2040_Annual,Compact_City_SF,Compact_City_MF,Compact_City_Total,Compact_City_Annual,Effective_Design_SF,Effective_Design_MF,Effective_Design_Total,Effective_Design_Annual,Intensive_Use_SF,Intensive_Use_MF,Intensive_Use_Total,Intensive_Use_Annual,Mass_Timber_SF,Mass_Timber_MF,Mass_Timber_Total,Mass_Timber_Annual,Alternative_Cement_SF,Alternative_Cement_MF,Alternative_Cement_Total,Alternative_Cement_Annual,'+ Effective_Design_SF,'+ Effective_Design_MF,'+ Effective_Design_Total,'+ Effective_Design_Annual,'+ Intensive_Use_SF,'+ Intensive_Use_MF,'+ Intensive_Use_Total,'+ Intensive_Use_Annual,'+ Mass_Timber_SF,'+ Mass_Timber_MF,'+ Mass_Timber_Total,'+ Mass_Timber_Annual,'+ Alternative_Cement_SF,'+ Alternative_Cement_MF,'+ Alternative_Cement_Total,'+ Alternative_Cement_Annual
Concrete (w/ PC),1805.1991762882174,2689.1658355805207,4494.365011868738,2247.182505934369,19857.190660263193,29530.895834401163,49388.086494664356,2244.9130224847436,19844.04088305119,29589.333261493164,49433.37414454436,2246.9715520247437,19857.190660263193,29530.895834401163,49388.086494664356,2244.9130224847436,19851.930749378393,28882.208728138765,48734.13947751716,2215.188158068962,19857.190660263193,29343.60591090516,49200.79657116835,2236.399844144016,19857.190660263193,29343.60591090516,49200.79657116835,2236.399844144016,19844.04088305119,29589.333261493164,49433.37414454436,2246.9715520247437,19841.41092760879,28925.653252314634,48767.06417992343,2216.684735451065,19841.41092760879,28773.31263975797,48614.72356736676,2209.7601621530343,19841.41092760879,28773.31263975797,48614.72356736676,2209.7601621530343
Iron/Steel,96.27744764637444,174.27087976333252,270.548327409707,135.2741637048535,1059.051602294119,1908.5907877526697,2967.642390046789,134.89283591121767,1043.8787824341189,1918.4093589326696,2962.2881413667883,134.64946097121765,1059.051602294119,1908.5907877526697,2967.642390046789,134.89283591121767,1052.982474350119,1799.5993272566695,2852.5818016067888,129.66280916394496,1059.051602294119,1692.4870298726696,2751.5386321667884,125.0699378257631,1059.051602294119,1692.4870298726696,2751.5386321667884,125.0699378257631,1043.8787824341189,1918.4093589326696,2962.2881413667883,134.64946097121765,1040.844218462119,1806.8988127786877,2847.743031240807,129.4428650564003,1040.844218462119,1631.1211829056115,2671.9654013677305,121.4529727894423,1040.844218462119,1631.1211829056115,2671.9654013677305,121.4529727894423
Wood (Total),707.4816517402031,2461.4161311564912,3168.8977828966945,1584.4488914483472,7782.285296502236,26797.104876148558,34579.39017265079,1571.7904623932177,7175.372502102236,27123.03629646856,34298.408798570796,1559.018581753218,7782.285296502236,26797.104876148558,34579.39017265079,1571.7904623932177,7539.520178742236,23179.08949784455,30718.609676586784,1396.3004398448538,7782.285296502236,18152.95456094855,25935.239857450786,1178.8745389750356,7782.285296502236,18152.95456094855,25935.239857450786,1178.8745389750356,7175.372502102236,27123.03629646856,34298.408798570796,1559.018581753218,7053.9899432222355,23421.398856322583,30475.388799544817,1385.2449454338553,7053.9899432222355,16390.29366139953,23444.283604621764,1065.6492547555347,7053.9899432222355,16390.29366139953,23444.283604621764,1065.6492547555347
Wood (except CLT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC,227.4550962123154,338.8348952831456,566.289991495461,283.1449957477305,2502.0060231931625,3720.8928751345466,6222.898898327709,282.85904083307764,2500.34915126445,3728.255990948139,6228.605142212589,283.1184155551177,2502.0060231931625,3720.8928751345466,6222.898898327709,282.85904083307764,2501.3432744216775,3639.1582997454843,6140.501574167161,279.1137079166892,2502.0060231931625,3697.2943447740504,6199.300367967213,281.786380362146,2502.0060231931625,3697.2943447740504,6199.300367967213,281.786380362146,2500.34915126445,3728.255990948139,6228.605142212589,283.1184155551177,2500.0177768787075,3644.632309791644,6144.650086670352,279.3022766668342,2500.0177768787075,3625.437392609504,6125.455169488212,278.4297804312824,2500.0177768787075,3625.437392609504,6125.455169488212,278.4297804312824
Concrete (w/ AC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total (Concrete+Iron+Wood),2608.958275674795,5324.852846500345,7933.81112217514,3966.90556108757,28698.52755905955,58236.59149830239,86935.11905736194,3951.596320789179,28063.292167587548,58630.77891689439,86694.07108448194,3940.639594749179,28698.52755905955,58236.59149830239,86935.11905736194,3951.596320789179,28444.43340247075,53860.897553239985,82305.33095571073,3741.1514070777603,28698.52755905955,49189.04750172638,77887.57506078592,3540.3443209448146,28698.52755905955,49189.04750172638,77887.57506078592,3540.3443209448146,28063.292167587548,58630.77891689439,86694.07108448194,3940.639594749179,27936.245089293145,54153.950921415904,82090.19601070904,3731.37254594132,27936.245089293145,46794.727484063114,74730.97257335627,3396.862389698012,27936.245089293145,46794.727484063114,74730.97257335627,3396.862389698012
Total (PC+Iron+Wood),1031.214195598893,2974.521906202969,4005.736101801862,2002.868050900931,11343.342921989517,32426.588539035773,43769.93146102529,1989.5423391375132,10719.600435800805,32769.701646349364,43489.30208215017,1976.7864582795532,11343.342921989517,32426.588539035773,43769.93146102529,1989.5423391375132,11093.845927514032,28617.847124846703,39711.69305236074,1805.076956925488,11343.342921989517,23542.735935595272,34886.07885758479,1585.730857162945,11343.342921989517,23542.735935595272,34886.07885758479,1585.730857162945,10719.600435800805,32769.701646349364,43489.30208215017,1976.7864582795532,10594.851938563063,28872.929978892913,39467.78191745598,1793.9900871570899,10594.851938563063,21646.852236914645,32241.70417547771,1465.5320079762596,10594.851938563063,21646.852236914645,32241.70417547771,1465.5320079762596
