,BAU2020_SF,BAU2020_MF,BAU2020_Total,BAU2020_Annual,BAU2040_SF,BAU2040_MF,BAU2040_Total,BAU2040_Annual,Compact_City_SF,Compact_City_MF,Compact_City_Total,Compact_City_Annual,Effective_Design_SF,Effective_Design_MF,Effective_Design_Total,Effective_Design_Annual,Intensive_Use_SF,Intensive_Use_MF,Intensive_Use_Total,Intensive_Use_Annual,Mass_Timber_SF,Mass_Timber_MF,Mass_Timber_Total,Mass_Timber_Annual,Alternative_Cement_SF,Alternative_Cement_MF,Alternative_Cement_Total,Alternative_Cement_Annual,'+ Effective_Design_SF,'+ Effective_Design_MF,'+ Effective_Design_Total,'+ Effective_Design_Annual,'+ Intensive_Use_SF,'+ Intensive_Use_MF,'+ Intensive_Use_Total,'+ Intensive_Use_Annual,'+ Mass_Timber_SF,'+ Mass_Timber_MF,'+ Mass_Timber_Total,'+ Mass_Timber_Annual,'+ Alternative_Cement_SF,'+ Alternative_Cement_MF,'+ Alternative_Cement_Total,'+ Alternative_Cement_Annual
Concrete (w/ PC),1480.2633245563381,2205.1159851760267,3685.379309732365,1842.6896548661825,16282.896341415817,24215.33458420895,40498.23092562477,1840.8286784374895,16272.113524101977,24263.253274424394,40535.366798526375,1842.5166726602897,16282.896341415817,24215.33458420895,40498.23092562477,1840.8286784374895,16278.583214490282,23683.411157073784,39961.99437156407,1816.4542896165485,16282.896341415817,24061.75684694223,40344.65318835805,1833.847872198093,16282.896341415817,24061.75684694223,40344.65318835805,1833.847872198093,16272.113524101977,24263.253274424394,40535.366798526375,1842.5166726602897,16269.956960639207,23719.035666898,39988.992627537205,1817.681483069873,16269.956960639207,23594.116364601534,39864.07332524074,1812.003332965488,16269.956960639207,23594.116364601534,39864.07332524074,1812.003332965488
Iron/Steel,78.94750707002704,142.90212140593266,221.84962847595972,110.92481423797986,868.4223138811775,1565.044445957189,2433.4667598383667,110.61212544719848,855.9806015959774,1573.0956743247891,2429.0762759207664,110.41255799639848,868.4223138811775,1565.044445957189,2433.4667598383667,110.61212544719848,863.4456289670975,1475.6714483504688,2339.1170773175663,106.32350351443483,868.4223138811775,1387.839364495589,2256.2616783767667,102.55734901712576,868.4223138811775,1387.839364495589,2256.2616783767667,102.55734901712576,855.9806015959774,1573.0956743247891,2429.0762759207664,110.41255799639848,853.4922591389375,1481.657026478524,2335.1492856174614,106.14314934624825,853.4922591389375,1337.5193699826013,2191.011629121539,99.59143768734269,853.4922591389375,1337.5193699826013,2191.011629121539,99.59143768734269
Wood (Total),191.02004596985486,664.5823554122527,855.6024013821076,427.8012006910538,2101.2170300556036,7235.218316560111,9336.435346615715,424.3834248461689,1937.3505755676038,7323.219800046511,9260.570375614116,420.9350170733689,2101.2170300556036,7235.218316560111,9336.435346615715,424.3834248461689,2035.6704482604039,6258.354164418029,8294.024612678433,377.0011187581106,2101.2170300556036,4901.2977314561085,7002.514761511712,318.29612552325966,2101.2170300556036,4901.2977314561085,7002.514761511712,318.29612552325966,1937.3505755676038,7323.219800046511,9260.570375614116,420.9350170733689,1904.5772846700038,6323.777691207098,8228.3549758771,374.01613526714095,1904.5772846700038,4425.379288577873,6329.956573247877,287.7252987839944,1904.5772846700038,4425.379288577873,6329.956573247877,287.7252987839944
Wood (except CLT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC,186.51317889409862,277.84461413217934,464.35779302627793,232.17889651313897,2051.644939018393,3051.132157610328,5102.777096628721,231.94441348312367,2050.286304036849,3057.169912577474,5107.456216614322,232.15710075519647,2051.644939018393,3051.132157610328,5102.777096628721,231.94441348312367,2051.1014850257757,2984.109805791297,5035.211290817073,228.87324049168512,2051.644939018393,3031.781362714721,5083.426301733114,231.06483189695973,2051.644939018393,3031.781362714721,5083.426301733114,231.06483189695973,2050.286304036849,3057.169912577474,5107.456216614322,232.15710075519647,2050.01457704054,2988.598494029148,5038.613071069688,229.027866866804,2050.01457704054,2972.8586619397934,5022.873238980334,228.31241995365153,2050.01457704054,2972.8586619397934,5022.873238980334,228.31241995365153
Concrete (w/ AC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total (Concrete+Iron+Wood),1750.2308775962201,3012.600461994212,4762.8313395904315,2381.4156697952158,19252.535685352595,33015.59734672625,52268.13303207885,2375.8242287308567,19065.44470126556,33159.5687487957,52225.013450061255,2373.864247730057,19252.535685352595,33015.59734672625,52268.13303207885,2375.8242287308567,19177.69929171778,31417.436769842283,50595.136061560064,2299.7789118890937,19252.535685352595,30350.893942893927,49603.42962824652,2254.701346738478,19252.535685352595,30350.893942893927,49603.42962824652,2254.701346738478,19065.44470126556,33159.5687487957,52225.013450061255,2373.864247730057,19028.02650444815,31524.47038458362,50552.49688903177,2297.840767683262,19028.02650444815,29357.015023162006,48385.041527610156,2199.320069436825,19028.02650444815,29357.015023162006,48385.041527610156,2199.320069436825
Total (PC+Iron+Wood),456.48073193398056,1085.3290909503648,1541.8098228843455,770.9049114421728,5021.284282955174,11851.394920127628,16872.6792030828,766.9399637764909,4843.61748120043,11953.485386948774,16797.102868149203,763.5046758249638,5021.284282955174,11851.394920127628,16872.6792030828,766.9399637764909,4950.217562253277,10718.135418559796,15668.352980813073,712.1978627642306,5021.284282955174,9320.91845866642,14342.202741621593,651.9183064373451,5021.284282955174,9320.91845866642,14342.202741621593,651.9183064373451,4843.61748120043,11953.485386948774,16797.102868149203,763.5046758249638,4808.084120849481,10794.03321171477,15602.117332564252,709.1871514801933,4808.084120849481,8735.757320500268,13543.841441349748,615.6291564249885,4808.084120849481,8735.757320500268,13543.841441349748,615.6291564249885
Total (PC+AC+Iron+Wood),456.48073193398056,1085.3290909503648,1541.8098228843455,770.9049114421728,5021.284282955174,11851.394920127628,16872.6792030828,766.9399637764909,4843.61748120043,11953.485386948774,16797.102868149203,763.5046758249638,5021.284282955174,11851.394920127628,16872.6792030828,766.9399637764909,4950.217562253277,10718.135418559796,15668.352980813073,712.1978627642306,5021.284282955174,9320.91845866642,14342.202741621593,651.9183064373451,5021.284282955174,9320.91845866642,14342.202741621593,651.9183064373451,4843.61748120043,11953.485386948774,16797.102868149203,763.5046758249638,4808.084120849481,10794.03321171477,15602.117332564252,709.1871514801933,4808.084120849481,8735.757320500268,13543.841441349748,615.6291564249885,4808.084120849481,8735.757320500268,13543.841441349748,615.6291564249885
